ObjectId,ConstituentId,ObjectNumber,Title,Dated,CreditLine,Dimensions,CreditLineRepro,Medium,Classification,SubClassification,description_web,ImageUrl,ImageUrl2,DataProvider
45,11,1968.98.28,Riverside,n.d.,Gift of Audrey McMahon,plate: 9 x 12 in. (22.9 x 30.5 cm),,wood engraving on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1968/1968.98.28_1a.jpg,http://americanart.si.edu/images/1968/1968.98.28_1a.jpg,Smithsonian American Art Museum
47,13,1935.13.1,"Ferme Aux Murier, la Vaison",n.d.,Gift of Chicago Society of Etchers,5 x 8 5/8 in. (12.5 x 21.9 cm),,etching,Graphic Arts,Print,,http://americanart.si.edu/images/1935/1935.13.1_1a.jpg,http://americanart.si.edu/images/1935/1935.13.1_1a.jpg,Smithsonian American Art Museum
48,13,1971.153,"Kervaudu, le Croisic",n.d.,"Transfer from the National Museum of American History, Division of Graphic Arts, Smithsonian Institution",plate: 8 x 12 1/2 in. (20.3 x 31.8 cm),,etching,Graphic Arts,Print,,http://americanart.si.edu/images/1971/1971.153_1a.jpg,http://americanart.si.edu/images/1971/1971.153_1a.jpg,Smithsonian American Art Museum
51,14,1981.54.2,"Green Portal, from series Egypt: Day and Night, No. 198",1981,Museum purchase,sheet: 14 1/8 x 20 in. (36.0 x 50.9 cm),,"watercolor, colored pencil, and pencil on paper",Painting,,,http://americanart.si.edu/images/1981/1981.54.2_1a.jpg,http://americanart.si.edu/images/1981/1981.54.2_1a.jpg,Smithsonian American Art Museum
53,14,1981.52.1,Mura VII,1979-1980,Gift of the artist,image: 23 x 19 3/4 in. (58.4 x 50.2 cm) irregular,,mezzotint on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1981/1981.52.1_1a.jpg,http://americanart.si.edu/images/1981/1981.52.1_1a.jpg,Smithsonian American Art Museum
54,14,1981.52.2,Mura VIII,1979-1980,Gift of the artist,plate: 11 3/8 x 12 in. (28.9 x 30.5 cm),,mezzotint on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1981/1981.52.2_1a.jpg,http://americanart.si.edu/images/1981/1981.52.2_1a.jpg,Smithsonian American Art Museum
56,14,1981.52.4,Mura XI,1980,Gift of the artist,26 x 19 3/4 in. (66.0 x 50.2 cm),,mezzotint on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1981/1981.52.4_1a.jpg,http://americanart.si.edu/images/1981/1981.52.4_1a.jpg,Smithsonian American Art Museum
57,14,1981.52.5,Mura XII,1980,Gift of the artist,image: 14 5/8 x 19 5/8 in. (37.2 x 49.8 cm) irregular,,mezzotint on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1981/1981.52.5_1a.jpg,http://americanart.si.edu/images/1981/1981.52.5_1a.jpg,Smithsonian American Art Museum
59,6879,1975.111.2,"(States of Mind, series) States of Mind II",1975,"Gift of Dr. Christopher A. Graf and Janet Graf, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.111.2_1a.jpg,http://americanart.si.edu/images/1975/1975.111.2_1a.jpg,Smithsonian American Art Museum
59,14,1975.111.2,"(States of Mind, series) States of Mind II",1975,"Gift of Dr. Christopher A. Graf and Janet Graf, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.111.2_1a.jpg,http://americanart.si.edu/images/1975/1975.111.2_1a.jpg,Smithsonian American Art Museum
59,6879,1975.111.2,"(States of Mind, series) States of Mind II",1975,"Gift of Dr. Christopher A. Graf and Janet Graf, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.111.2_1a.jpg,http://americanart.si.edu/images/1975/1975.111.2_1a.jpg,Smithsonian American Art Museum
60,6879,1975.111.3,"(States of Mind, series) States of Mind III",1975,"Gift of Dr. Christopher A. Graf and Janet Graf, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.111.3_1a.jpg,http://americanart.si.edu/images/1975/1975.111.3_1a.jpg,Smithsonian American Art Museum
60,6879,1975.111.3,"(States of Mind, series) States of Mind III",1975,"Gift of Dr. Christopher A. Graf and Janet Graf, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.111.3_1a.jpg,http://americanart.si.edu/images/1975/1975.111.3_1a.jpg,Smithsonian American Art Museum
60,14,1975.111.3,"(States of Mind, series) States of Mind III",1975,"Gift of Dr. Christopher A. Graf and Janet Graf, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.111.3_1a.jpg,http://americanart.si.edu/images/1975/1975.111.3_1a.jpg,Smithsonian American Art Museum
62,6879,1975.112.2,"(States of Mind, series) States of Mind V",1975,"Gift of Dr. Frederick P. Nause and Rebecca Nause, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.112.2_1a.jpg,http://americanart.si.edu/images/1975/1975.112.2_1a.jpg,Smithsonian American Art Museum
62,6879,1975.112.2,"(States of Mind, series) States of Mind V",1975,"Gift of Dr. Frederick P. Nause and Rebecca Nause, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.112.2_1a.jpg,http://americanart.si.edu/images/1975/1975.112.2_1a.jpg,Smithsonian American Art Museum
62,14,1975.112.2,"(States of Mind, series) States of Mind V",1975,"Gift of Dr. Frederick P. Nause and Rebecca Nause, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.112.2_1a.jpg,http://americanart.si.edu/images/1975/1975.112.2_1a.jpg,Smithsonian American Art Museum
64,27656,1970.264.1,"Untitled, from the portfolio LIGATURE '68",ca. 1967-1968,Gift of Arthur Y. Schulson,plate: 11 5/8 x 13 5/8 in. (29.5 x 34.6 cm),,color etching and open bite on paper mounted on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,Smithsonian American Art Museum
64,27657,1970.264.1,"Untitled, from the portfolio LIGATURE '68",ca. 1967-1968,Gift of Arthur Y. Schulson,plate: 11 5/8 x 13 5/8 in. (29.5 x 34.6 cm),,color etching and open bite on paper mounted on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,Smithsonian American Art Museum
64,27658,1970.264.1,"Untitled, from the portfolio LIGATURE '68",ca. 1967-1968,Gift of Arthur Y. Schulson,plate: 11 5/8 x 13 5/8 in. (29.5 x 34.6 cm),,color etching and open bite on paper mounted on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,Smithsonian American Art Museum
64,14,1970.264.1,"Untitled, from the portfolio LIGATURE '68",ca. 1967-1968,Gift of Arthur Y. Schulson,plate: 11 5/8 x 13 5/8 in. (29.5 x 34.6 cm),,color etching and open bite on paper mounted on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,http://americanart.si.edu/images/1970/1970.264.1_1a.jpg,Smithsonian American Art Museum
67,15,1977.48.9,English Church,n.d.,Gift of the Woodward Foundation,,,watercolor,Painting,,,http://americanart.si.edu/images/1977/1977.48.9_1a.jpg,http://americanart.si.edu/images/1977/1977.48.9_1a.jpg,Smithsonian American Art Museum
68,16,1987.24,Waterfront People,1983,Gift of Edouard Roditi,plate: 5 7/8 x 9 in. (15.0 x 22.8 cm),,etching on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1987/1987.24_1a.jpg,http://americanart.si.edu/images/1987/1987.24_1a.jpg,Smithsonian American Art Museum
73,20,1977.74.6,Children in River,before 1959,Museum acquisition,sheet and image: 3 3/4 x 4 7/8 in. (9.7 x 12.3 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1977/1977.74.6_1a.jpg,http://americanart.si.edu/images/1977/1977.74.6_1a.jpg,Smithsonian American Art Museum
73,20,1977.74.6,Children in River,before 1959,Museum acquisition,sheet and image: 3 3/4 x 4 7/8 in. (9.7 x 12.3 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1977/1977.74.6_1a.jpg,http://americanart.si.edu/images/1977/1977.74.6_1a.jpg,Smithsonian American Art Museum
74,20,1977.74.8,Monolith,before 1959,Museum acquisition,sheet and image: 6 1/2 x 4 1/2 in. (16.6 x 11.5 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1977/1977.74.8_1a.jpg,http://americanart.si.edu/images/1977/1977.74.8_1a.jpg,Smithsonian American Art Museum
76,20,1977.74.5,Old Woman,before 1959,Museum acquisition,sheet and image: 9 3/8 x 5 7/8 in. (23.8 x 14.9 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1977/1977.74.5_1a.jpg,http://americanart.si.edu/images/1977/1977.74.5_1a.jpg,Smithsonian American Art Museum
77,20,1981.174.1,"Madrone Bark, Santa Cruz Mountains, California",1980,Gift of the Democratic National Committee,sheet: 30 x 20 in. (76.2 x 50.8 cm),,photolithograph on paper,Graphic Arts,Mechanical Reproduction,,http://americanart.si.edu/images/1981/1981.174.1_1a.jpg,http://americanart.si.edu/images/1981/1981.174.1_1a.jpg,Smithsonian American Art Museum
79,20,1977.74.7,"Sandbar, Rio Grande, Big Bend National Park, Texas",1947,Museum acquisition,image and sheet: 7 1/2 x 9 5/8 in. (19.1 x 24.3 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1977/1977.74.7_1a.jpg,http://americanart.si.edu/images/1977/1977.74.7_1a.jpg,Smithsonian American Art Museum
80,20,1977.74.1,Alfred Stieglitz,"ca. 1935, printed later",Museum acquisition,sheet and image: 8 3/4 x 5 7/8 in. (20.3 x 15.0 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1977/1977.74.1_1a.jpg,http://americanart.si.edu/images/1977/1977.74.1_1a.jpg,Smithsonian American Art Museum
82,21,1974.28.1,"Lumbering in Arkansas (mural study, Siloam Springs, Arkansas Post Office)",ca. 1940,Transfer from the General Services Administration,11 5/8 x 28 in. (29.5 x 71.1 cm.),,oil on paperboard,Painting,,,http://americanart.si.edu/images/1974/1974.28.1_1a.jpg,http://americanart.si.edu/images/1974/1974.28.1_1a.jpg,Smithsonian American Art Museum
83,22,1973.72.1,Window Series IX,1960,"Gift of the Tamarind Lithography Workshop, Inc.",image: 13 1/8 x 9 1/2 in. (33.2 x 24.0 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.72.1_1a.jpg,http://americanart.si.edu/images/1973/1973.72.1_1a.jpg,Smithsonian American Art Museum
84,22,1973.72.3,Window Series IX,1960,"Gift of the Tamarind Lithography Workshop, Inc.",image: 9 3/8 x 5 1/2 in. (23.9 x 14.1 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.72.3_1a.jpg,http://americanart.si.edu/images/1973/1973.72.3_1a.jpg,Smithsonian American Art Museum
85,22,1973.72.4,Window Series IX,1960,"Gift of the Tamarind Lithography Workshop, Inc.",image: 13 x 9 1/2 in. (33.2 x 24.1 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.72.4_1a.jpg,http://americanart.si.edu/images/1973/1973.72.4_1a.jpg,Smithsonian American Art Museum
87,23,XX1,Joseph Henry,ca. 1911,Museum acquisition,12 x 18 x 21 in. (30.4 x 45.7 x 53.2 cm),,bronzed plaster,Sculpture,,"<p>Joseph Henry was the grandson of Scottish immigrants and a self-made man who became a prominent scientist. The unit of electromagnetic induction is named the â€œhenryâ€ù after him. In 1846, in recognition of his abilities as a scientist, professor, and leader, he was chosen to be the first secretary and director of the Smithsonian Institution. This plaster bust was cast from a full-size bronze in the Library of Congress. The larger statue is one of sixteen that encircle the rotunda, symbolizing different elements of human achievement. Henry represents manâ€™s accomplishments in science.</p>",http://americanart.si.edu/images/XX1/XX1_1a.jpg,http://americanart.si.edu/images/XX1/XX1_1a.jpg,Smithsonian American Art Museum
91,5957,1976.103.15,Harvest,1940,Gift of Maltby Sykes,image: 10 7/8 x 9 in. (27.6 x 22.9 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1976/1976.103.15_1a.jpg,http://americanart.si.edu/images/1976/1976.103.15_1a.jpg,Smithsonian American Art Museum
93,25,1983.63.3,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.3_1a.jpg,http://americanart.si.edu/images/1983/1983.63.3_1a.jpg,Smithsonian American Art Museum
94,25,1983.63.4,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.4_1a.jpg,http://americanart.si.edu/images/1983/1983.63.4_1a.jpg,Smithsonian American Art Museum
96,25,1983.63.6,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.6_1a.jpg,http://americanart.si.edu/images/1983/1983.63.6_1a.jpg,Smithsonian American Art Museum
97,25,1983.63.7,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.7_1a.jpg,http://americanart.si.edu/images/1983/1983.63.7_1a.jpg,Smithsonian American Art Museum
99,26,1989.30.1A-E,Wedding Cake Basket,1986,"Gift of Herbert Waide Hemphill, Jr.",25 1/2 x 15 3/4 in. (64.8 x 40.0 cm) diam.,,woven sweetgrass and ash splint,Decorative Arts,,,http://americanart.si.edu/images/1989/1989.30.1A-E_1a.jpg,http://americanart.si.edu/images/1989/1989.30.1A-E_1a.jpg,Smithsonian American Art Museum
104,28,1983.63.11,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.11_1a.jpg,http://americanart.si.edu/images/1983/1983.63.11_1a.jpg,Smithsonian American Art Museum
105,28,1983.63.12,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.12_1a.jpg,http://americanart.si.edu/images/1983/1983.63.12_1a.jpg,Smithsonian American Art Museum
107,28,1983.63.14,"Untitled, from the Mountain Photography Workshop"" Documentary Survey of Appalachian Kentucky and West Virginia""",1978,Transfer from the National Endowment for the Arts,image: 8 3/4 x 6 3/4 in. (22.2 x 17.1 cm),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.14_1a.jpg,http://americanart.si.edu/images/1983/1983.63.14_1a.jpg,Smithsonian American Art Museum
108,28,1983.63.15,"Appalshop, Inc. Photo Survey Project",,Transfer from the National Endowment for the Arts,,,gelatin silver print,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.63.15_1a.jpg,http://americanart.si.edu/images/1983/1983.63.15_1a.jpg,Smithsonian American Art Museum
